"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bangladesh","BGD","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","703041157.24329","688734536.750352","499683405.134504","615433360.509488","900795818.209793","1498365855.56396","798549981.108302","744888625.533938","1031701234.34855","1241412971.11618","1436711261.44632","1588913471.85895","1441794966.87002","1374890191.73228","1453475428.23267","1710665450.25794","1655956588.00035","1874055101.67412","2087193021.82181","2246933572.01826","2483488092.55183","2430906245.23827","2527410197.20274","2645490900.37489","2718211115.88855","3034821693.05787","3713425835.33585","3844572257.57024","3995228980.03267","4083965520.55786","4232017080.70995","4322778445.85677","4366693300.91691","4823441990.25484","5142623317.13082","5451177463.30633","6268611827.61513","6935993898.51346","7972601282.80005","8911430322.00966","9992614781.22074","11113537570.8784","11419446550.417","13011710539.4855","15063966598.9417","16852487135.506","19130224022.7139","21636586328.7141","",
"Bangladesh","BGD","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","","","","","","","","","","","0.5425099","0.5425099","0.5425099","0.5425099","0.9","0.8","0.5","0.6","0.6448609","0.7","0.7","0.7","0.7","0.8","0.9","0.9","1.1","1.1","1.1","1.2","1.2","1.1","1.2","1.3","1.3369002","1.3369002","1.3050351","1.3","1.4927874","1.32","1.28","1.3","1.25","1.68","1.48","1.545","1.61","1.79","1.71","1.59","1.77954151520932","1.96908303041871","1.98471567011345","1.79967432305119","1.61463297598892","1.42959162892664","1.24455028186433","1.24455028186433","",
"Bangladesh","BGD","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","43986993.016173","112705737.111","155519354.032","50526484.745","57653133.396","85368133.6353747","108750033.651","127098590.99","144135312.118","131930089.823","144983838.384","175076280","203898115.386","244223833.337","273536290.324","299027236.277","353022820.524","386808665.88","347804032.125","389743630.404","442899831.803","465568427.220676","522684712.018613","621844438.959871","644973536.298","767526505.944644","697506613.98","705302389.184","723187157.147","711350557.2","1051413056.988","1005296599.2904","1120444300.00515","1221510706.22","1516485097.0138","1687498334.0613","1764900000","2224426894.01164","2737025412.282","2877837721.6645","2915472403.34293","2970924675.81961","2973550588.16741","2912247659.56254","3235830732.84727","",
"Bangladesh","BGD","Adjusted savings: energy depletion (% of GNI)","NY.ADJ.DNGY.GN.ZS","","","","","","","","","","","","","","0.0012824120396561","0.00275902764659395","0.00300370163928346","0.00800522567622213","0.00997489412050548","0.00490729235485829","0.00774106033133992","0.0126537989046471","0.0037760050609096","0.00114808526871789","0.0143359721758453","0.0186098814721853","0.0171550226282271","0.0166245222510843","0.018813153094121","0.0186648406367069","0.0155088250486935","0.0346996173837659","0.0246921065882954","0.0410619991280589","0.0469714098506894","0.0555449581525106","0.0681591919140798","0.0982577117024616","0.0877663735782474","0.0755200927417688","0.10688898556326","0.199161641193456","0.237869911367726","0.33212426134756","0.295718505698215","0.336703941742892","0.482370022003788","0.76284140066347","0.608943846994536","0.598913977459671","0.646835450754215","0.564804790390865","0.956723026356273","1.02558142275465","0.799571195544088","0.78499355214581","0.617823480894747","0.349242501250521","0.377710581669033","",
"Bangladesh","BGD","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","70340.6717386402","89388.5193691318","66045.3780238806","103978.65445812","345509.160687777","583917.173307778","808951.826019839","958473.168900797","649638.378660258","1202629.38789663","2297542.87350208","777508.097161934","216381.418037735","2598105.34127534","3620165.35487902","3886529.75922188","3691004.13777823","4678254.64242123","5073905.1919501","4562474.30141919","11185093.9223008","7807285.66642676","13336377.176513","16002791.9403232","19343238.0420787","26648038.1983877","46819439.2680305","43543837.1806258","38829154.7146669","56481647.2666563","109741547.943399","132326511.517565","189005422.69538","185072796.478621","228707653.785002","349817955.758901","578769526.744279","515896239.600819","591032946.905977","717987350.337178","706005987.988581","1329845006.63522","1487093062.99424","1295305336.78142","1444388135.94829","1285072840.26107","817227452.926219","982047512.339486","",
"Bangladesh","BGD","Adjusted savings: gross savings (% of GNI)","NY.ADJ.ICTR.GN.ZS","","","","","","","","","","","","","","","","","-0.84188991","10.0841137","5.723206373","7.089837298","8.324260818","20.79296686","23.12680669","22.44448359","15.84918956","21.16225474","22.33686453","22.10775611","21.70167957","21.8624179","22.57032847","22.0887245","21.47273402","20.34740363","21.73751522","21.49076952","22.5506567","23.72425022","25.11499074","25.86742434","26.92372616","27.58515465","29.56911363","28.99569589","30.26787033","31.51451146","33.45157914","34.12777478","34.71084821","36.11292658","35.87543213","35.26502175","37.42833402","36.78715404","35.41880081","34.49447684","35.09476927","33.78575793","",
"Bangladesh","BGD","Adjusted savings: mineral depletion (% of GNI)","NY.ADJ.DMIN.GN.ZS","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bangladesh","BGD","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bangladesh","BGD","Adjusted savings: natural resources depletion (% of GNI)","NY.ADJ.DRES.GN.ZS","","","","","","","","","","","","","","0.460502687673516","0.350901590049728","0.521890318636928","0.632840806683823","2.30457927132837","1.66009922255537","0.603451318629079","0.641071656152174","0.497001390475341","0.810809821486184","0.570171731949102","0.474040365733013","0.290126797349245","0.507369984488372","0.420242064787016","0.422191390453895","0.384887748371807","0.430999145666514","0.429137930618523","0.438448436057547","0.357127000086298","0.327122891830933","0.372462644836525","0.345397161870332","0.291764717874246","0.270300586322354","0.303327588079603","0.381630682926427","0.416776653452526","0.499930557386904","0.468892622289797","0.496903240223205","0.626331835104049","0.956764634387192","0.895808263961806","0.824238630938575","0.840642052566979","0.880585162867808","1.25704543273947","1.26956342367186","0.974855535371703","0.950606240417583","0.795258887786624","0.539809797583262","0.553374279232106","",
"Bangladesh","BGD","Adjusted savings: net forest depletion (% of GNI)","NY.ADJ.DFOR.GN.ZS","","","","","","","","","","","","","","0.45922027563386","0.348142562403134","0.518886616997645","0.624835581007601","2.29460437720786","1.65519193020051","0.595710258297739","0.628417857247527","0.493225385414431","0.809661736217466","0.555835759773257","0.455430484260828","0.272971774721018","0.490745462237288","0.401428911692895","0.403526549817188","0.369378923323113","0.396299528282748","0.404445824030228","0.397386436929488","0.310155590235609","0.271577933678422","0.304303452922445","0.24713945016787","0.203998344295999","0.194780493580585","0.196438602516343","0.182469041732971","0.1789067420848","0.167806296039344","0.173174116591582","0.160199298480313","0.143961813100261","0.193923233723722","0.28686441696727","0.225324653478904","0.193806601812764","0.315780372476943","0.300322406383193","0.243982000917215","0.175284339827615","0.165612688271773","0.177435406891877","0.190567296332741","0.175663697563073","",
